_id,date,end_price,daily_change,start_price,high_price,low_price,trade
660cc0676ca5177d63a4196e,,,,,,,
660cc0676ca5177d63a4196f,,,,,,,
660cc0676ca5177d63a41970,2024.04.03,20650,-300,20700,20750,20450,218197
660cc0686ca5177d63a41971,2024.04.02,20950,"-1,000",22000,22200,20800,552331
660cc0686ca5177d63a41972,2024.04.01,21950,+750,21200,22050,21200,421251
660cc0686ca5177d63a41973,2024.03.29,21200,-350,21600,22050,21050,489268
660cc0686ca5177d63a41974,2024.03.28,21550,-750,22200,22300,21250,690655
660cc0686ca5177d63a41975,,,,,,,
660cc0686ca5177d63a41976,,,,,,,
660cc0686ca5177d63a41977,,,,,,,
660cc0686ca5177d63a41978,2024.03.27,22300,"+1,100",21450,22350,21150,972318
660cc0686ca5177d63a41979,2024.03.26,21200,+100,21050,21350,20600,404990
660cc0686ca5177d63a4197a,2024.03.25,21100,-250,21350,21750,21100,353739
660cc0686ca5177d63a4197b,2024.03.22,21350,-50,21300,21500,21000,318050
660cc0686ca5177d63a4197c,2024.03.21,21400,-50,21700,21850,21150,479600
660cc0686ca5177d63a4197d,,,,,,,
660cc06a6ca5177d63a4197e,,,,,,,
660cc06a6ca5177d63a4197f,,,,,,,
660cc06a6ca5177d63a41980,2024.03.20,21450,-450,21950,22200,21300,479331
660cc06a6ca5177d63a41981,2024.03.19,21900,+200,21700,22200,21400,488794
660cc06a6ca5177d63a41982,2024.03.18,21700,0,21650,22150,21100,519881
660cc06a6ca5177d63a41983,2024.03.15,21700,+300,21300,22650,20950,1425086
660cc06a6ca5177d63a41984,2024.03.14,21400,"-1,700",23250,23300,21200,1328708
660cc06a6ca5177d63a41985,,,,,,,
660cc06a6ca5177d63a41986,,,,,,,
660cc06a6ca5177d63a41987,,,,,,,
660cc06a6ca5177d63a41988,2024.03.13,23100,+950,22450,23800,22400,1569210
660cc06a6ca5177d63a41989,2024.03.12,22150,-150,22500,22550,21850,467132
660cc06a6ca5177d63a4198a,2024.03.11,22300,-300,22300,22600,21600,643682
660cc06b6ca5177d63a4198b,2024.03.08,22600,-300,23000,23500,22600,621622
660cc06b6ca5177d63a4198c,2024.03.07,22900,-200,23300,23500,22700,679219
660cc06b6ca5177d63a4198d,,,,,,,
660cc06c6ca5177d63a4198e,,,,,,,
660cc06c6ca5177d63a4198f,,,,,,,
660cc06c6ca5177d63a41990,2024.03.06,23100,+150,22800,23900,22750,829985
660cc06c6ca5177d63a41991,2024.03.05,22950,"-1,050",24450,24950,22950,1365164
660cc06c6ca5177d63a41992,2024.03.04,24000,+550,23850,24300,23300,904014
660cc06c6ca5177d63a41993,2024.02.29,23450,+400,23000,24300,22450,2192988
660cc06c6ca5177d63a41994,2024.02.28,23050,-600,24050,24050,22900,1038061
660cc06c6ca5177d63a41995,,,,,,,
660cc06c6ca5177d63a41996,,,,,,,
660cc06d6ca5177d63a41997,,,,,,,
660cc06d6ca5177d63a41998,2024.02.27,23650,"-1,850",25200,25200,23150,1779171
660cc06d6ca5177d63a41999,2024.02.26,25500,+850,24700,25850,23750,1204681
660cc06d6ca5177d63a4199a,2024.02.23,24650,"-1,850",26950,27000,24350,2042372
660cc06d6ca5177d63a4199b,2024.02.22,26500,+800,26250,26900,25800,1772710
660cc06d6ca5177d63a4199c,2024.02.21,25700,"-2,000",27000,27800,25250,2026573
660cc06d6ca5177d63a4199d,,,,,,,
660cc06e6ca5177d63a4199e,,,,,,,
660cc06e6ca5177d63a4199f,,,,,,,
660cc06e6ca5177d63a419a0,2024.02.20,27700,-700,28400,28400,26750,1795210
660cc06e6ca5177d63a419a1,2024.02.19,28400,"-1,900",30000,30700,28300,3613909
660cc06f6ca5177d63a419a2,2024.02.16,30300,"+4,000",26900,31150,26000,11234899
660cc06f6ca5177d63a419a3,2024.02.15,26300,+200,26550,27250,25350,2148877
660cc06f6ca5177d63a419a4,2024.02.14,26100,"-1,500",26750,26900,25200,2416399
660cc06f6ca5177d63a419a5,,,,,,,
660cc06f6ca5177d63a419a6,,,,,,,
660cc06f6ca5177d63a419a7,,,,,,,
660cc06f6ca5177d63a419a8,2024.02.13,27600,0,28100,28850,26450,2209466
660cc06f6ca5177d63a419a9,2024.02.08,27600,"+1,200",26150,28500,25750,3004900
660cc06f6ca5177d63a419aa,2024.02.07,26400,+650,25250,27300,25250,1928820
660cc06f6ca5177d63a419ab,2024.02.06,25750,"-1,200",27700,28850,25050,3247353
660cc06f6ca5177d63a419ac,2024.02.05,26950,-550,26900,28200,24450,2699292
660cc06f6ca5177d63a419ad,,,,,,,
660cc0706ca5177d63a419ae,,,,,,,
660cc0706ca5177d63a419af,,,,,,,
660cc0716ca5177d63a419b0,2024.02.02,27500,"+2,850",25600,29250,24950,6045604
660cc0716ca5177d63a419b1,2024.02.01,24650,+200,24150,25150,23000,2402151
660cc0716ca5177d63a419b2,2024.01.31,24450,"-2,450",25900,27000,23300,3136720
660cc0716ca5177d63a419b3,2024.01.30,26900,"+2,450",24750,27100,24250,4714356
660cc0716ca5177d63a419b4,2024.01.29,24450,"-6,550",31000,31500,22850,3890709
660cc0716ca5177d63a419b5,,,,,,,
660cc0716ca5177d63a419b6,,,,,,,
660cc0716ca5177d63a419b7,,,,,,,
660cc0716ca5177d63a419b8,2024.01.26,31000,"+1,550",29100,31550,28650,1526894
660cc0716ca5177d63a419b9,2024.01.25,29450,"-2,750",31100,32500,29100,1465510
660cc0716ca5177d63a419ba,2024.01.24,32200,-350,33100,33600,29700,1815964
660cc0726ca5177d63a419bb,2024.01.23,32550,"-2,600",34400,34900,31400,2285727
660cc0726ca5177d63a419bc,2024.01.22,35150,"+4,700",32000,38450,31500,5378551
660cc0726ca5177d63a419bd,,,,,,,
660cc0736ca5177d63a419be,,,,,,,
660cc0736ca5177d63a419bf,,,,,,,
660cc0736ca5177d63a419c0,2024.01.19,30450,"+1,700",28300,30450,27850,2499184
660cc0736ca5177d63a419c1,2024.01.18,28750,"+3,250",25150,28800,24350,3238677
660cc0736ca5177d63a419c2,2024.01.17,25500,-550,26150,27500,25050,2036472
660cc0736ca5177d63a419c3,2024.01.16,26050,+750,25650,26350,22650,3902007
660cc0736ca5177d63a419c4,2024.01.15,25300,"+1,550",23400,25300,23400,1237136
660cc0736ca5177d63a419c5,,,,,,,
660cc0736ca5177d63a419c6,,,,,,,
660cc0746ca5177d63a419c7,,,,,,,
660cc0746ca5177d63a419c8,2024.01.12,23750,"-1,050",24700,24700,23750,821728
660cc0746ca5177d63a419c9,2024.01.11,24800,+50,24600,24850,23900,1472014
660cc0746ca5177d63a419ca,2024.01.10,24750,"+3,500",20950,27500,20700,29862131
660cc0746ca5177d63a419cb,2024.01.09,21250,"+1,790",20000,22750,19320,20277212
660cc0746ca5177d63a419cc,2024.01.08,19460,,15210,19460,15090,16399380
660cc0746ca5177d63a419cd,,,,,,,
660cc0756ca5177d63a419ce,,,,,,,
660cc0756ca5177d63a419cf,,,,,,,
660cc0756ca5177d63a419d0,2024.01.05,14970,+860,14130,16350,14120,3141304
660cc0756ca5177d63a419d1,2024.01.04,14110,-320,14430,14490,14080,99042
660cc0766ca5177d63a419d2,2024.01.03,14430,-150,14400,14500,14280,101235
660cc0766ca5177d63a419d3,2024.01.02,14580,+310,14220,14600,14220,136709
660cc0766ca5177d63a419d4,2023.12.28,14270,+10,14340,14390,14160,95660
660cc0766ca5177d63a419d5,,,,,,,
660cc0766ca5177d63a419d6,,,,,,,
660cc0766ca5177d63a419d7,,,,,,,
660cc0766ca5177d63a419d8,2023.12.27,14260,+180,13950,14350,13940,122567
